t0,tf,angulo,delay_real,delay_ideal,jitter
282754380,282758785,90,4405,4166.666666666667,238.33333333333303
282763551,282767960,90,4409,4166.666666666667,242.33333333333303
282771042,282775447,90,4405,4166.666666666667,238.33333333333303
282780207,282784613,90,4406,4166.666666666667,239.33333333333303
282787700,282792106,90,4406,4166.666666666667,239.33333333333303
282796877,282801283,90,4406,4166.666666666667,239.33333333333303
282804360,282808766,90,4406,4166.666666666667,239.33333333333303
282813533,282817974,90,4441,4166.666666666667,274.33333333333303
282821037,282825473,90,4436,4166.666666666667,269.33333333333303
282830193,282834600,90,4407,4166.666666666667,240.33333333333303
282837678,282842084,90,4406,4166.666666666667,239.33333333333303
282846847,282851252,90,4405,4166.666666666667,238.33333333333303
282854347,282858779,90,4432,4166.666666666667,265.33333333333303
282863509,282867919,90,4410,4166.666666666667,243.33333333333303
282870996,282875402,90,4406,4166.666666666667,239.33333333333303
282880168,282884574,90,4406,4166.666666666667,239.33333333333303
282887659,282892065,90,4406,4166.666666666667,239.33333333333303
282896820,282901225,90,4405,4166.666666666667,238.33333333333303
282904318,282908724,90,4406,4166.666666666667,239.33333333333303
282913481,282917889,90,4408,4166.666666666667,241.33333333333303
282920966,282925371,90,4405,4166.666666666667,238.33333333333303
282930136,282934543,90,4407,4166.666666666667,240.33333333333303
282937633,282942039,90,4406,4166.666666666667,239.33333333333303
282946801,282951215,90,4414,4166.666666666667,247.33333333333303
282954287,282958693,90,4406,4166.666666666667,239.33333333333303
282963459,282967869,90,4410,4166.666666666667,243.33333333333303
282970948,282975355,90,4407,4166.666666666667,240.33333333333303
282980116,282984552,90,4436,4166.666666666667,269.33333333333303
282987611,282992016,90,4405,4166.666666666667,238.33333333333303
282996776,283001182,90,4406,4166.666666666667,239.33333333333303
283004263,283008669,90,4406,4166.666666666667,239.33333333333303
283013436,283017844,90,4408,4166.666666666667,241.33333333333303
283020928,283025364,90,4436,4166.666666666667,269.33333333333303
283030098,283034504,90,4406,4166.666666666667,239.33333333333303
283037583,283041989,90,4406,4166.666666666667,239.33333333333303
283046751,283051157,90,4406,4166.666666666667,239.33333333333303
