angle,t0_us,tf_us,delay_real_us,delay_ideal_us,jitter_us,delay_real_corr_us,jitter_corr_us
150,209222769,209229955,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,209239418,209246597,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209256168,209263350,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209273341,209280529,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,209289525,209296712,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,209306174,209313352,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,209322804,209329987,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209339452,209346632,7180,6944.444444444445,235.55555555555475,6948.660851370063,4.216406925617775
150,209356160,209363346,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,209372808,209379991,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209389552,209396735,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209406195,209413374,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209422891,209430079,7188,6944.444444444445,243.55555555555475,6956.660851370063,12.216406925617775
150,209439559,209446742,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209456194,209463376,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209472830,209480008,7178,6944.444444444445,233.55555555555475,6946.660851370063,2.2164069256177754
150,209489576,209496759,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209506272,209513454,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209522920,209530106,7186,6944.444444444445,241.55555555555475,6954.660851370063,10.216406925617775
150,209539569,209546748,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209556201,209563383,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209572908,209580091,7183,6944.444444444445,238.55555555555475,6951.660851370063,7.216406925617775
150,209589568,209596755,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,209606210,209613389,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209622952,209630136,7184,6944.444444444445,239.55555555555475,6952.660851370063,8.216406925617775
150,209640144,209647328,7184,6944.444444444445,239.55555555555475,6952.660851370063,8.216406925617775
150,209656212,209663399,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,209672967,209680146,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209689598,209696780,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209706224,209713403,7179,6944.444444444445,234.55555555555475,6947.660851370063,3.2164069256177754
150,209722916,209730103,7187,6944.444444444445,242.55555555555475,6955.660851370063,11.216406925617775
150,209739573,209746755,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
150,209756333,209763515,7182,6944.444444444445,237.55555555555475,6950.660851370063,6.216406925617775
