t0,tf,angulo,delay_real,delay_ideal,jitter
4749367,4753802,90,4435,4166.666666666667,268.33333333333303
4758558,4762960,90,4402,4166.666666666667,235.33333333333303
4766036,4770442,90,4406,4166.666666666667,239.33333333333303
4775231,4779632,90,4401,4166.666666666667,234.33333333333303
4782708,4787114,90,4406,4166.666666666667,239.33333333333303
4791914,4796347,90,4433,4166.666666666667,266.33333333333303
4799382,4803789,90,4407,4166.666666666667,240.33333333333303
4808573,4812975,90,4402,4166.666666666667,235.33333333333303
4816053,4820458,90,4405,4166.666666666667,238.33333333333303
4825245,4829656,90,4411,4166.666666666667,244.33333333333303
4832730,4837166,90,4436,4166.666666666667,269.33333333333303
4841918,4846319,90,4401,4166.666666666667,234.33333333333303
4849403,4853836,90,4433,4166.666666666667,266.33333333333303
4858597,4863028,90,4431,4166.666666666667,264.33333333333303
4866076,4870481,90,4405,4166.666666666667,238.33333333333303
4875275,4879677,90,4402,4166.666666666667,235.33333333333303
4882747,4887154,90,4407,4166.666666666667,240.33333333333303
4891939,4896341,90,4402,4166.666666666667,235.33333333333303
4899418,4903824,90,4406,4166.666666666667,239.33333333333303
4908616,4913017,90,4401,4166.666666666667,234.33333333333303
4916093,4920498,90,4405,4166.666666666667,238.33333333333303
4925286,4929688,90,4402,4166.666666666667,235.33333333333303
4932763,4937169,90,4406,4166.666666666667,239.33333333333303
4941958,4946386,90,4428,4166.666666666667,261.33333333333303
4949435,4953851,90,4416,4166.666666666667,249.33333333333303
4958633,4963035,90,4402,4166.666666666667,235.33333333333303
4966106,4970512,90,4406,4166.666666666667,239.33333333333303
4975305,4979707,90,4402,4166.666666666667,235.33333333333303
4982781,4987188,90,4407,4166.666666666667,240.33333333333303
4991979,4996382,90,4403,4166.666666666667,236.33333333333303
4999453,5003860,90,4407,4166.666666666667,240.33333333333303
5008645,5013047,90,4402,4166.666666666667,235.33333333333303
5016125,5020531,90,4406,4166.666666666667,239.33333333333303
5025320,5029722,90,4402,4166.666666666667,235.33333333333303
5032793,5037199,90,4406,4166.666666666667,239.33333333333303
5041998,5046401,90,4403,4166.666666666667,236.33333333333303
5058656,5063061,90,4405,4166.666666666667,238.33333333333303
5066154,5070581,90,4427,4166.666666666667,260.33333333333303
5075331,5079737,90,4406,4166.666666666667,239.33333333333303
5082820,5087223,90,4403,4166.666666666667,236.33333333333303
